name,date_for_local_environment,lon,lat
   1982221N09345,9/08/1982 18:00,-15.4,10.5
   1982222N09257,12/08/1982 0:00,-109.6,7.6
   1982222N10101,10/08/1982 12:00,101,9.2
   1982222N07250,11/08/1982 6:00,-115.1,8.8
   1982223N10095,11/08/1982 12:00,86.7,14
   1982223N14092,12/08/1982 12:00,88.1,17.7
   1982224N08189,12/08/1982 18:00,-169.5,6.5
   1982224N10237,13/08/1982 6:00,-125.8,11.2
   1982224N12149,12/08/1982 18:00,149.1,11.8
   1982224N07268,13/08/1982 6:00,-95.3,7.9
   1982225N06177,14/08/1982 12:00,177.4,8.9
   1982226N04164,14/08/1982 18:00,162.8,5
   1982226N12343,15/08/1982 6:00,-18.9,8.4
   1982227N15138,15/08/1982 18:00,133.7,19.9
   1982227N07271,18/08/1982 0:00,-81.1,7.7
   1982227N12238,15/08/1982 18:00,-122.2,10.4
   1982227N13095,16/08/1982 12:00,89.2,17
